,IDConflito,LocalizacaoConflito,ParticipaEurovisao,NomeConflito,AnoInicio,AnoFim,Participante,EstadoDuranteEurovisao
92,93,Kosovo,NaoParticipaNaEurovisao,Kosovo War,1998,1999,Luxembourg,AtivoDuranteEurovisao
93,94,Kosovo,NaoParticipaNaEurovisao,Kosovo War,1998,1999,Netherlands,AtivoDuranteEurovisao
94,95,Kosovo,NaoParticipaNaEurovisao,Kosovo War,1998,1999,Norway,AtivoDuranteEurovisao
95,96,Kosovo,NaoParticipaNaEurovisao,Kosovo War,1998,1999,Portugal,AtivoDuranteEurovisao
96,97,Kosovo,NaoParticipaNaEurovisao,Kosovo War,1998,1999,Spain,AtivoDuranteEurovisao
97,98,Kosovo,NaoParticipaNaEurovisao,Kosovo War,1998,1999,Turkey,AtivoDuranteEurovisao
98,99,Kosovo,NaoParticipaNaEurovisao,Kosovo War,1998,1999,United Kingdom,AtivoDuranteEurovisao
99,100,Yugoslavia,ParticipanteEurovisao,Insurgency in the Preševo Valley,1999,2001,Yugoslavia,AtivoDuranteEurovisao
100,101,Russia,ParticipanteEurovisao,Invasion of Dagestan,1999,1999,Russia,NaoAtivoDuranteEurovisao
101,102,"Georgia, Russia",NaoParticipaNaEurovisao,Second Chechen War,1999,2009,Russia,AtivoDuranteEurovisao
102,103,Israel,ParticipanteEurovisao,Second Intifada,2000,2005,Israel,AtivoDuranteEurovisao
103,104,Lebanon,NaoParticipaNaEurovisao,2000–2006 Shebaa Farms conflict,2000,2006,Israel,AtivoDuranteEurovisao
104,105,North Macedonia,ParticipanteEurovisao,Insurgency in the Republic of Macedonia,2001,2001,North Macedonia,AtivoDuranteEurovisao
105,106,Global,NaoParticipaNaEurovisao,War on Terror,2001,,United Kingdom,0
106,107,Global,NaoParticipaNaEurovisao,War on Terror,2001,,France,0
107,108,Global,NaoParticipaNaEurovisao,War on Terror,2001,,Russia,0
108,109,Global,NaoParticipaNaEurovisao,War on Terror,2001,,Albania,0
109,110,Global,NaoParticipaNaEurovisao,War on Terror,2001,,Belgium,0
110,111,Global,NaoParticipaNaEurovisao,War on Terror,2001,,Bulgaria,0
111,112,Global,NaoParticipaNaEurovisao,War on Terror,2001,,Croatia,0
112,113,Global,NaoParticipaNaEurovisao,War on Terror,2001,,Czechia,0
113,114,Global,NaoParticipaNaEurovisao,War on Terror,2001,,Denmark,0
114,115,Global,NaoParticipaNaEurovisao,War on Terror,2001,,Estonia,0
115,116,Global,NaoParticipaNaEurovisao,War on Terror,2001,,Germany,0
116,117,Global,NaoParticipaNaEurovisao,War on Terror,2001,,Greece,0
117,118,Global,NaoParticipaNaEurovisao,War on Terror,2001,,Hungary,0
118,119,Global,NaoParticipaNaEurovisao,War on Terror,2001,,Iceland,0
119,120,Global,NaoParticipaNaEurovisao,War on Terror,2001,,Italy,0
120,121,Global,NaoParticipaNaEurovisao,War on Terror,2001,,Latvia,0
121,122,Global,NaoParticipaNaEurovisao,War on Terror,2001,,Lithuania,0
122,123,Global,NaoParticipaNaEurovisao,War on Terror,2001,,Luxembourg,0
123,124,Global,NaoParticipaNaEurovisao,War on Terror,2001,,Montenegro,0
124,125,Global,NaoParticipaNaEurovisao,War on Terror,2001,,Netherlands,0
125,126,Global,NaoParticipaNaEurovisao,War on Terror,2001,,North Macedonia,0
126,127,Global,NaoParticipaNaEurovisao,War on Terror,2001,,Norway,0
127,128,Global,NaoParticipaNaEurovisao,War on Terror,2001,,Poland,0
128,129,Global,NaoParticipaNaEurovisao,War on Terror,2001,,Portugal,0
129,130,Global,NaoParticipaNaEurovisao,War on Terror,2001,,Romania,0
130,131,Global,NaoParticipaNaEurovisao,War on Terror,2001,,Slovakia,0
131,132,Global,NaoParticipaNaEurovisao,War on Terror,2001,,Slovenia,0
132,133,Global,NaoParticipaNaEurovisao,War on Terror,2001,,Spain,0
133,134,Global,NaoParticipaNaEurovisao,War on Terror,2001,,Turkey,0
134,135,Global,NaoParticipaNaEurovisao,War on Terror,2001,,Andorra,0
135,136,Global,NaoParticipaNaEurovisao,War on Terror,2001,,Armenia,0
136,137,Global,NaoParticipaNaEurovisao,War on Terror,2001,,Australia,0
