,Country,variable,value
196,Albania,2014,4.37
197,Andorra,2014,0.46
198,Armenia,2014,5.4
199,Australia,2014,340.43
200,Austria,2014,54.92
201,Belarus,2014,43.05
202,Belgium,2014,87.8
203,Bosnia and Herzegovina,2014,15.77
204,Bulgaria,2014,30.12
205,Croatia,2014,14.84
206,Cyprus,2014,6.43
207,Czech Republic,2014,96.12
208,Denmark,2014,33.81
209,Estonia,2014,11.67
210,Finland,2014,8.47
211,France,2014,243.42
212,Germany,2014,708.25
213,Greece,2014,70.95
214,Hungary,2014,41.96
215,Iceland,2014,1.97
216,Ireland,2014,33.3
217,Italy,2014,292.83
218,Latvia,2014,4.6
219,Libya,2014,59.7
220,Lithuania,2014,4.78
221,Luxembourg,2014,9.41
222,Malta,2014,2.35
223,Moldova,2014,7.27
224,Montenegro,2014,2.25
225,Netherlands,2014,151.26
226,Norway,2014,19.34
227,Poland,2014,258.63
228,Portugal,2014,45.12
229,Romania,2014,213.71
230,Russia,2014,919.33
231,Serbia,2014,35.88
232,Slovakia,2014,22.84
233,Slovenia,2014,10.55
234,Spain,2014,233.1
235,Sweden,2014,16.89
236,Switzerland,2014,37.51
237,Turkey,2014,280.97
238,Ukraine,2014,223.34
239,United Kingdom,2014,403.89
240,Azerbaijan,2014,29.78
241,Georgia,2014,8.47
242,Israel,2014,64.67
243,Morocco,2014,59.72
244,Macedonia,2014,7.78
245,Albania,2013,3.95
246,Andorra,2013,0.48
247,Armenia,2013,5.42
248,Australia,2013,349.83
249,Austria,2013,58.68
250,Belarus,2013,43.53
251,Belgium,2013,94.25
252,Bosnia and Herzegovina,2013,18.13
253,Bulgaria,2013,27.7
254,Croatia,2013,15.54
255,Cyprus,2013,6.07
256,Czech Republic,2013,99.08
257,Denmark,2013,38.03
258,Estonia,2013,13.04
259,Finland,2013,4.46
260,France,2013,275.53
261,Germany,2013,748.42
262,Greece,2013,73.89
263,Hungary,2013,42.1
264,Iceland,2013,1.95
265,Ireland,2013,33.47
266,Italy,2013,311.79
267,Latvia,2013,4.8
268,Libya,2013,54.99
269,Lithuania,2013,5.27
270,Luxembourg,2013,9.91
271,Malta,2013,2.37
272,Moldova,2013,6.73
273,Montenegro,2013,2.3
274,Netherlands,2013,158.49
275,Norway,2013,19.27
276,Poland,2013,271.24
277,Portugal,2013,45.75
278,Romania,2013,213.11
279,Russia,2013,936.52
280,Serbia,2013,43.3
281,Slovakia,2013,25.34
282,Slovenia,2013,11.97
283,Spain,2013,234.94
284,Sweden,2013,18.3
285,Switzerland,2013,41.27
286,Turkey,2013,258.5
287,Ukraine,2013,254.33
288,United Kingdom,2013,442.1
289,Azerbaijan,2013,28.54
290,Georgia,2013,7.84
291,Israel,2013,66.95
292,Morocco,2013,58.28
293,Macedonia,2013,8.24
294,Albania,2012,3.74
295,Andorra,2012,0.49
296,Armenia,2012,5.64
297,Australia,2012,356.33
298,Austria,2012,58.04
299,Belarus,2012,43.38
300,Belgium,2012,92.6
301,Bosnia and Herzegovina,2012,18.25
302,Bulgaria,2012,33.01
303,Croatia,2012,15.96
304,Cyprus,2012,6.7
305,Czech Republic,2012,103.54
306,Denmark,2012,36.25
307,Estonia,2012,10.63
308,Finland,2012,5.25
309,France,2012,275.23
310,Germany,2012,730.81
311,Greece,2012,81.49
312,Hungary,2012,44.77
313,Iceland,2012,1.78
314,Ireland,2012,34.85
315,Italy,2012,342.08
316,Latvia,2012,4.92
317,Libya,2012,52.3
318,Lithuania,2012,5.86
319,Luxembourg,2012,10.45
320,Malta,2012,2.71
321,Moldova,2012,7.69
322,Montenegro,2012,2.36
323,Netherlands,2012,158.89
324,Norway,2012,20.16
325,Poland,2012,276.27
326,Portugal,2012,47.42
327,Romania,2012,203.39
328,Russia,2012,979.37
329,Serbia,2012,42.61
330,Slovakia,2012,24.76
331,Slovenia,2012,12.54
332,Spain,2012,261.41
333,Sweden,2012,19.9
334,Switzerland,2012,40.26
335,Turkey,2012,269.21
336,Ukraine,2012,263.01
337,United Kingdom,2012,456.12
338,Azerbaijan,2012,27.91
339,Georgia,2012,7.19
340,Israel,2012,76.01
341,Morocco,2012,58.71
342,Macedonia,2012,9.13
343,Albania,2011,4.2
344,Andorra,2011,0.49
345,Armenia,2011,4.86
346,Australia,2011,356.33
347,Austria,2011,61.2
348,Belarus,2011,41.94
349,Belgium,2011,93.21
350,Bosnia and Herzegovina,2011,20.02
351,Bulgaria,2011,37.56
352,Croatia,2011,17.54
353,Cyprus,2011,7.23
354,Czech Republic,2011,107.35
355,Denmark,2011,41.14
356,Estonia,2011,11.9
357,Finland,2011,0.44
358,France,2011,272.44
359,Germany,2011,717.17
360,Greece,2011,85.95
361,Hungary,2011,48.25
362,Iceland,2011,1.81
363,Ireland,2011,34.11
364,Italy,2011,362.02
365,Latvia,2011,5.24
366,Libya,2011,38.05
367,Lithuania,2011,5.78
368,Luxembourg,2011,10.69
369,Malta,2011,2.57
370,Moldova,2011,7.9
371,Montenegro,2011,2.56
372,Netherlands,2011,160.24
373,Norway,2011,21.2
374,Poland,2011,283.51
375,Portugal,2011,49.06
376,Romania,2011,201.17
377,Russia,2011,974.12
378,Serbia,2011,47.97
379,Slovakia,2011,26.53
380,Slovenia,2011,13.1
381,Spain,2011,266.54
382,Sweden,2011,22.31
383,Switzerland,2011,38.98
384,Turkey,2011,258.05
385,Ukraine,2011,269.24
386,United Kingdom,2011,433.47
387,Azerbaijan,2011,25.71
388,Georgia,2011,6.52
389,Israel,2011,69.77
390,Morocco,2011,56.35
391,Macedonia,2011,9.64
392,Albania,2010,3.46
