,Country,variable,value
2783,Netherlands,2015,16939923
2784,North Macedonia,2015,2070226
2785,Norway,2015,5188607
2786,Poland,2015,37986412
2787,Portugal,2015,10358076
2788,Romania,2015,19815616
2789,Russian Federation,2015,144096870
2790,San Marino,2015,33270
2791,Serbia,2015,7095383
2792,Slovak Republic,2015,5423801
2793,Slovenia,2015,2063531
2794,Spain,2015,46444832
2795,Sweden,2015,9799186
2796,Switzerland,2015,8282396
2797,Turkey,2015,78529413
2798,Ukraine,2015,45154036
2799,United Kingdom,2015,65116219
2800,Albania,2016,2876101
2801,Andorra,2016,77295
2802,Armenia,2016,2936147
2803,Australia,2016,24190907
2804,Austria,2016,8736668
2805,Azerbaijan,2016,9757812
2806,Belarus,2016,9469379
2807,Belgium,2016,11331422
2808,Bosnia and Herzegovina,2016,3386263
2809,Bulgaria,2016,7127822
2810,Croatia,2016,4174349
2811,Cyprus,2016,1170189
2812,Czech Republic,2016,10566332
2813,Denmark,2016,5728010
2814,Estonia,2016,1315790
2815,Finland,2016,5495303
2816,France,2016,66724104
2817,Georgia,2016,3727505
2818,Germany,2016,82348669
2819,Greece,2016,10775971
2820,Hungary,2016,9814023
2821,Iceland,2016,335439
2822,Ireland,2016,4755335
2823,Israel,2016,8546000
2824,Italy,2016,60627498
2825,Latvia,2016,1959537
2826,Lithuania,2016,2868231
2827,Luxembourg,2016,582014
2828,Malta,2016,455356
2829,Moldova,2016,2802170
2830,Monaco,2016,38070
2831,Montenegro,2016,622303
2832,Morocco,2016,35126274
2833,Netherlands,2016,17030314
2834,North Macedonia,2016,2072490
2835,Norway,2016,5234519
2836,Poland,2016,37970087
2837,Portugal,2016,10325452
2838,Romania,2016,19702267
2839,Russian Federation,2016,144342397
2840,San Marino,2016,33503
2841,Serbia,2016,7058322
2842,Slovak Republic,2016,5430798
2843,Slovenia,2016,2065042
2844,Spain,2016,46484062
2845,Sweden,2016,9923085
2846,Switzerland,2016,8373338
2847,Turkey,2016,79827868
2848,Ukraine,2016,45004673
2849,United Kingdom,2016,65611593
2850,Albania,2017,2873457
2851,Andorra,2017,76997
2852,Armenia,2017,2944789
2853,Australia,2017,24601860
2854,Austria,2017,8797566
2855,Azerbaijan,2017,9854033
2856,Belarus,2017,9458989
2857,Belgium,2017,11375158
2858,Bosnia and Herzegovina,2017,3351534
2859,Bulgaria,2017,7075947
2860,Croatia,2017,4124531
2861,Cyprus,2017,1179685
2862,Czech Republic,2017,10594438
2863,Denmark,2017,5764980
2864,Estonia,2017,1317384
2865,Finland,2017,5508214
2866,France,2017,66918020
2867,Georgia,2017,3728004
2868,Germany,2017,82657002
2869,Greece,2017,10754679
2870,Hungary,2017,9787966
2871,Iceland,2017,343400
2872,Ireland,2017,4807388
2873,Israel,2017,8713300
2874,Italy,2017,60536709
2875,Latvia,2017,1942248
2876,Lithuania,2017,2828403
2877,Luxembourg,2017,596336
2878,Malta,2017,467999
2879,Moldova,2017,2755158
2880,Monaco,2017,38392
2881,Montenegro,2017,622373
2882,Morocco,2017,35581257
2883,Netherlands,2017,17131296
2884,North Macedonia,2017,2074502
2885,Norway,2017,5276968
2886,Poland,2017,37974826
2887,Portugal,2017,10300300
2888,Romania,2017,19588715
2889,Russian Federation,2017,144496739
2890,San Marino,2017,33671
2891,Serbia,2017,7020858
2892,Slovak Republic,2017,5439232
2893,Slovenia,2017,2066388
2894,Spain,2017,46593236
2895,Sweden,2017,10057698
2896,Switzerland,2017,8451840
2897,Turkey,2017,81116451
2898,Ukraine,2017,44831135
2899,United Kingdom,2017,66058859
2900,Albania,2018,2866376
2901,Andorra,2018,77008
2902,Armenia,2018,2951741
2903,Australia,2018,24982688
2904,Austria,2018,8840521
2905,Azerbaijan,2018,9939771
2906,Belarus,2018,9438785
2907,Belgium,2018,11427054
2908,Bosnia and Herzegovina,2018,3323929
2909,Bulgaria,2018,7025037
2910,Croatia,2018,4087843
2911,Cyprus,2018,1189262
2912,Czech Republic,2018,10629928
2913,Denmark,2018,5793636
2914,Estonia,2018,1321977
2915,Finland,2018,5515525
2916,France,2018,67101930
2917,Georgia,2018,3726549
2918,Germany,2018,82905782
2919,Greece,2018,10732882
2920,Hungary,2018,9775564
2921,Iceland,2018,352721
2922,Ireland,2018,4867316
2923,Israel,2018,8882800
2924,Italy,2018,60421760
2925,Latvia,2018,1927174
2926,Lithuania,2018,2801543
2927,Luxembourg,2018,607950
2928,Malta,2018,484630
2929,Moldova,2018,2708214
2930,Monaco,2018,38682
2931,Montenegro,2018,622227
2932,Morocco,2018,36029089
2933,Netherlands,2018,17231624
2934,North Macedonia,2018,2076217
2935,Norway,2018,5311916
2936,Poland,2018,37974750
2937,Portugal,2018,10283822
2938,Romania,2018,19473970
2939,Russian Federation,2018,144477859
2940,San Marino,2018,33784
2941,Serbia,2018,6982604
2942,Slovak Republic,2018,5446771
2943,Slovenia,2018,2073894
2944,Spain,2018,46797754
2945,Sweden,2018,10175214
2946,Switzerland,2018,8514329
2947,Turkey,2018,82340090
2948,Ukraine,2018,44622518
2949,United Kingdom,2018,66460344
2950,Albania,2019,2854191
2951,Andorra,2019,77146
2952,Armenia,2019,2957728
2953,Australia,2019,25365745
2954,Austria,2019,8879920
2955,Azerbaijan,2019,10024283
2956,Belarus,2019,9419758
2957,Belgium,2019,11488980
2958,Bosnia and Herzegovina,2019,3300998
2959,Bulgaria,2019,6975761
2960,Croatia,2019,4065253
2961,Cyprus,2019,1198574
2962,Czech Republic,2019,10671870
2963,Denmark,2019,5814422
2964,Estonia,2019,1326898
2965,Finland,2019,5521606
2966,France,2019,67248926
2967,Georgia,2019,3720161
2968,Germany,2019,83092962
2969,Greece,2019,10721582
2970,Hungary,2019,9771141
2971,Iceland,2019,360563
2972,Ireland,2019,4934340
2973,Israel,2019,9054000
2974,Italy,2019,59729081
2975,Latvia,2019,1913822
2976,Lithuania,2019,2794137
2977,Luxembourg,2019,620001
2978,Malta,2019,504062
2979,Moldova,2019,2664974
2980,Monaco,2019,38967
2981,Montenegro,2019,622028
2982,Morocco,2019,36471766
2983,Netherlands,2019,17344874
2984,North Macedonia,2019,2076694
2985,Norway,2019,5347896
2986,Poland,2019,37965475
2987,Portugal,2019,10286263
2988,Romania,2019,19371648
2989,Russian Federation,2019,144406261
2990,San Marino,2019,33864
2991,Serbia,2019,6945235
2992,Slovak Republic,2019,5454147
2993,Slovenia,2019,2088385
2994,Spain,2019,47133521
2995,Sweden,2019,10278887
2996,Switzerland,2019,8575280
2997,Turkey,2019,83429607
2998,Ukraine,2019,44386203
2999,United Kingdom,2019,66836327
3000,Albania,2020,2837743
3001,Andorra,2020,77265
3002,Armenia,2020,2963234
3003,Australia,2020,25687041
3004,Austria,2020,8917205
3005,Azerbaijan,2020,10093121
3006,Belarus,2020,9379952
3007,Belgium,2020,11555997
3008,Bosnia and Herzegovina,2020,3280815
3009,Bulgaria,2020,6934015
3010,Croatia,2020,4047200
3011,Cyprus,2020,1207361
3012,Czech Republic,2020,10698896
3013,Denmark,2020,5831404
3014,Estonia,2020,1331057
3015,Finland,2020,5530719
3016,France,2020,67391582
3017,Georgia,2020,3714000
3018,Germany,2020,83240525
3019,Greece,2020,10715549
3020,Hungary,2020,9749763
3021,Iceland,2020,366425
3022,Ireland,2020,4994724
3023,Israel,2020,9216900
3024,Italy,2020,59554023
3025,Latvia,2020,1901548
3026,Lithuania,2020,2794700
3027,Luxembourg,2020,632275
3028,Malta,2020,525285
3029,Moldova,2020,2620495
3030,Monaco,2020,39244
3031,Montenegro,2020,621306
3032,Morocco,2020,36910558
3033,Netherlands,2020,17441139
3034,North Macedonia,2020,2072531
3035,Norway,2020,5379475
3036,Poland,2020,37950802
3037,Portugal,2020,10305564
3038,Romania,2020,19286123
3039,Russian Federation,2020,144104080
3040,San Marino,2020,33938
3041,Serbia,2020,6908224
3042,Slovak Republic,2020,5458827
3043,Slovenia,2020,2100126
3044,Spain,2020,47351567
3045,Sweden,2020,10353442
3046,Switzerland,2020,8636896
3047,Turkey,2020,84339067
3048,Ukraine,2020,44134693
3049,United Kingdom,2020,67215293
